"veiculo","nome_motor","configuracao_motor","ano_inicial","ano_final","cilindrada"
(6011.000.005.00.0),"2.8 MWM SPRINT 4.07 TCA",-,"01/01/2006","",""
-,(4X2),-,"01/01/1997","",""
-,-,"","01/01/1960","",""
-,-,-,"01/01/1960","",""
-,-,-,"01/01/1960","01/01/1966",""
-,-,-,"01/01/1960","01/01/1982",""
-,-,-,"01/01/1960","01/01/2010",""
-,-,-,"01/01/1992","01/01/1993",""
-,-,-,"01/01/1994","",""
-,-,-,"01/01/1995","",""
-,-,-,"01/01/1997","",""
-,-,-,"01/01/1998","",""
-,-,-,"01/01/2000","",""
-,-,-,"01/01/2001","01/01/2002",""
-,-,-,"01/01/2004","01/01/2005",""
-,-,-,"01/01/2007","01/01/2008",""
-,-,-,"01/01/2016","",""
-,-,"0101","01/01/1960","",""
-,-,"0345","01/01/1960","",""
-,-,"10R2144 UP-22 R942 UP64U1ES","01/01/1960","",""
-,-,"1104C-44TAG2","01/01/1960","",""
-,-,"118CV","01/01/2013","",""
-,-,"11R652 UP - 24R942 UP","01/01/1960","",""
-,-,"12Y","01/01/1960","",""
-,-,"13U1 - 681","01/01/1960","",""
-,-,"13U942 UP-87V1 UP","01/01/1960","",""
-,-,"14K-10R12143-22R1941","01/01/1960","",""
-,-,"14U388 UP - 72V - 61V","01/01/1960","",""
-,-,"1984-1998","01/01/1960","",""
-,-,"1988","01/01/1960","",""
-,-,"1999","01/01/1960","",""
-,-,"1AM","01/01/1960","",""
-,-,"1CR864","01/01/1960","",""
-,-,"1FR1 - 1415","01/01/1960","",""
-,-,"1HJ","01/01/1960","",""
-,-,"1JR1107","01/01/1960","",""
-,-,"1PR1 - 1598","01/01/1960","",""
-,-,"1TR1","01/01/1960","",""
-,-,"1WR1 - 8115","01/01/1960","",""
-,-,"1XS1","01/01/1960","",""
-,-,"1YS1","01/01/1960","",""
-,-,"1ZR926 - 999","01/01/1960","",""
-,-,"202487","01/01/1960","",""
-,-,"202727","01/01/1960","",""
-,-,"2029","01/01/1960","",""
-,-,"2088","01/01/1960","",""
-,-,"2200","01/01/1960","",""
-,-,"2201","01/01/1960","",""
