"cd_grupo","nm_grupo","dt_atz","fl_ativo","ignora_atz_preco","dias_vencimento_atz_preco"
2,AMORTECEDORES,2016-06-16 22:01:33.000,S,false,0
3,ARREFECIMENTO - MOTOR,2016-06-16 22:01:33.000,S,false,0
4,BUCHAS - COXINS - SANFONAS,2016-06-16 22:01:33.000,S,false,0
5,CABOS,2016-06-16 22:01:33.000,S,false,0
6,CARDAN E DIFERENCIAL,2016-06-16 22:01:33.000,S,false,0
7,CORREIAS,2016-06-16 22:01:33.000,S,false,0
11,FILTROS,2016-06-16 22:01:33.000,S,false,0
12,FREIOS,2016-06-16 22:01:33.000,S,false,0
15,MANGUEIRAS,2016-06-16 22:01:33.000,S,false,0
17,QUIMICOS E USO GERAL,2016-06-16 22:01:33.000,S,false,0
18,RETENTORES,2016-06-16 22:01:33.000,S,false,0
19,ROLAMENTOS E CUBOS,2016-06-16 22:01:33.000,S,false,0
21,VELAS E CABOS DE VELAS,2016-06-16 22:01:33.000,S,false,0
22,MATERIAS PARA DESCARTE,2017-11-28 09:28:32.000,S,false,0
1,ACESSÓRIOS E CARROCERIA,2018-03-29 14:14:24.000,S,false,0
23,FERRAMENTAS,2018-02-26 16:44:23.000,S,false,0
8,DIREÇÃO,2018-03-29 14:14:24.000,S,false,0
10,EMBREAGEM E CÂMBIO,2018-03-29 14:14:24.000,S,false,0
13,HOMOCINÉTICAS,2018-03-29 14:14:24.000,S,false,0
16,INJEÇÃO E CARBURAÇÃO,2018-03-29 14:14:24.000,S,false,0
20,SUSPENSÃO,2018-03-29 14:14:24.000,S,false,0
14,JUNTAS,2022-06-30 14:18:31.000,S,false,0
9,ELETRICA E IGNIÇÃO,2022-07-01 10:25:55.000,S,false,0
